Team,Position,Name
SUN,Back,Takuya Yamasawa
CHI,Number 8,Taleni Seu
RED,Tighthead Prop,Taniela Tupou
BLU,Wing,Tanielu Tele'a
WAR,Hooker,Tatafu Polota-Nau
RED,Scrumhalf,Tate McDermott
CHI,Scrumhalf,Te Toiroa Tahuriorangi
HIG,Centre,Teihorangi Walden
SHA,Loosehead Prop,Tendai Mtawarira
REB,Loosehead Prop,Tetera Faulkner
RED,Back,Teti Tela
BRU,Centre,Tevita Kuridrani
HIG,Wing,Tevita Li
CHI,Loosehead Prop,Tevita Mafileo
BUL,Lock,Thembelani Bholi
BRU,Fullback,Thomas Banks
BRU,Flank,Thomas Cusack
SHA,Tighthead Prop,Thomas du Toit
HIG,Lock,Thomas Franklin
BRU,Loosehead Prop,Thomas Ross
WAR,Lock,Thomas Staniforth
HIG,Centre,Thomas Umaga-Jensen
BUL,Flank,Tim Agaba
CRU,Centre,Tim Bateman
CRU,Loosehead Prop,Tim Perry
BLU,Centre,TJ Faiane
HUR,Scrumhalf,TJ Perenara
HUR,Loosehead Prop,Toby Smith
REB,Centre,Tom English
BLU,Flank,Tom Robinson
SUN,Lock,Tom Rowe
CRU,Flank,Tom Sanders
BRU,Centre,Tom Wright
JAG,Scrumhalf,Tomas Cubelli
JAG,Lock,Tomas Lavanini
JAG,Flank,Tomas Lezana
BRU,Wing,Toni Pulu
BUL,Tighthead Prop,Trevor Nyakane
CHI,Centre,Tumua Manu
CHI,Lock,Tyler Ardron
SHA,Flank,Tyler Paul
HIG,Tighthead Prop,Tyrel Lomax
LIO,Fullback,Tyrone Green
SUN,Lock,Uwe Helu
HUR,Lock,Vaea Fifita
HUR,Centre,Vince Aso
LIO,Flank,Vincent Tshituka
BRU,Tighthead Prop,Vunipola Fifita
HIG,Wing,Waisake Naholo
LIO,Centre,Wandisile Simelane
LIO,Number 8,Warren Whiteley
BUL,Fullback,Warrick Gelant
HUR,Wing,Wes Goosen
BRU,Back,Wharenui Hawera
CRU,Number 8,Whetu Douglas
SHA,Flank,Wian Vosloo
BUL,Tighthead Prop,Wiehahn Herbst
STO,Tighthead Prop,Wilco Louw
LIO,Lock,Wilhelm van der Sluys
REB,Scrumhalf,Will Genia
CRU,Wing,Will Jordan
WAR,Flank,Will Miller
HUR,Loosehead Prop,Xavier Numia
SUN,Back,Yu Tamura
