Team,Score,Metres carried,Carries,Defenders beaten,Clean breaks,Offloads,Turnovers conceded,Missed tackles,Turnovers won,Conversions missed,Penalty goals,Penalty goals missed,Drop goals,Drop goals missed,Rucks won %,Mauls won,Lineouts won,Lineouts lost,Lineouts won %,Scrums won,Scrums lost,Scrums won %,Penalties conceded,Red cards,Yellow cards,Possession,Tries,Passes,Tackles,Kicks in play,Conversions,Rucks won,Rucks lost,Match_ID
REB,42,527,95,31,18,12,16,26,3,0,0,0,0,0,41%,4,11,0,46%,10,1,53%,16,0,2,0.49,6,108,124,18,6,58,3,rebels-sunwolves-aami-park-06042019
SUN,15,402,128,26,8,14,22,31,5,1,1,0,0,0,57%,1,7,6,29%,9,0,47%,6,0,1,0.51,2,156,79,18,1,80,2,rebels-sunwolves-aami-park-06042019
BUL,20,393,121,20,9,5,11,16,4,1,5,1,0,0,56%,6,13,0,48%,10,0,71%,9,0,2,0.57,1,99,106,18,0,88,3,bulls-jaguares-loftus-versfeld-06042019
JAG,22,248,92,16,8,6,13,20,5,1,1,0,0,0,43%,3,14,0,52%,4,0,29%,15,0,1,0.43,3,134,136,23,2,67,2,bulls-jaguares-loftus-versfeld-06042019
CRU,43,492,121,36,22,19,13,28,10,1,1,0,0,0,53%,0,9,1,31%,5,0,33%,18,0,1,0.51,5,175,131,27,4,80,3,crusaders-highlanders-christchurch-stadium-12042019
HIG,17,371,114,28,10,9,22,36,4,0,1,0,0,0,46%,6,17,3,59%,9,1,60%,6,0,0,0.49,2,126,116,16,2,69,2,crusaders-highlanders-christchurch-stadium-12042019
REB,24,369,154,22,8,12,17,33,7,0,1,0,0,0,72%,2,15,0,56%,7,0,47%,7,0,0,0.68,3,184,59,22,3,103,6,rebels-stormers-aami-park-12042019
STO,41,449,70,33,13,7,19,22,7,0,2,0,0,0,26%,2,11,1,41%,6,2,40%,8,0,0,0.32,5,80,174,18,5,37,3,rebels-stormers-aami-park-12042019
CHI,33,374,103,22,17,18,10,38,11,1,0,2,0,0,32%,4,10,1,67%,4,2,33%,8,0,0,0.37,5,110,185,18,4,54,2,chiefs-blues-fmg-stadium-waikato-13042019
BLU,29,619,164,38,12,9,17,22,7,1,1,0,0,0,64%,1,5,0,33%,8,0,67%,7,0,0,0.63,4,219,89,12,3,109,6,chiefs-blues-fmg-stadium-waikato-13042019
BRU,31,428,113,41,8,3,14,30,6,2,0,0,0,0,44%,2,13,1,50%,4,0,31%,12,0,1,0.46,5,150,154,16,3,84,3,brumbies-lions-gio-stadium-13042019
LIO,20,457,138,30,10,8,15,41,6,2,1,0,0,0,54%,3,11,2,42%,7,2,54%,7,0,0,0.54,3,213,127,10,1,102,3,brumbies-lions-gio-stadium-13042019
SHA,17,516,141,22,11,7,18,17,2,0,1,0,0,0,66%,0,8,3,44%,6,0,55%,11,0,0,0.64,2,168,84,25,2,95,10,sharks-jaguares-jonsson-kings-park-13042019
JAG,51,335,85,17,10,5,14,22,13,2,2,1,0,1,34%,5,7,3,39%,4,1,36%,5,0,0,0.36,7,103,161,27,5,49,0,sharks-jaguares-jonsson-kings-park-13042019
BUL,32,666,157,35,26,21,20,18,8,3,1,0,0,0,54%,1,9,3,36%,3,2,21%,12,0,0,0.50,5,171,129,14,2,98,2,bulls-reds-loftus-versfeld-13042019
RED,17,228,98,18,6,3,17,35,9,0,1,0,0,0,42%,1,15,1,60%,9,2,64%,10,0,0,0.50,2,122,165,13,2,77,8,bulls-reds-loftus-versfeld-13042019
CHI,17,519,129,24,15,15,18,19,8,2,0,0,0,0,40%,1,11,1,48%,4,2,36%,8,0,0,0.45,3,184,160,14,1,68,4,chiefs-lions-fmg-stadium-waikato-19042019
LIO,23,378,128,19,3,5,13,24,8,0,2,0,1,0,57%,4,10,2,43%,7,0,64%,6,0,0,0.55,2,166,115,23,2,98,5,chiefs-lions-fmg-stadium-waikato-19042019
SUN,23,402,103,16,7,6,16,20,9,0,3,1,0,0,38%,2,13,2,57%,4,2,40%,11,0,0,0.45,2,112,130,27,2,54,6,sunwolves-hurricanes-prince-chichibu-memorial-stadium-19042019
HUR,29,427,127,20,11,9,16,16,9,1,1,0,0,0,59%,0,9,1,39%,5,1,50%,11,0,0,0.55,4,130,94,28,3,83,4,sunwolves-hurricanes-prince-chichibu-memorial-stadium-19042019
